intersection_name,intersection_type,scenario,ped_estimation_type,lighting_cmf,twltl_cmf,bulbout_cmf,signal_cmf,school_cmf,pedvol,nlanes,aadt_maj,aadt_minor,nbi_mv,nbi_sv,nbi_all,nped_base,cmf_veh,cmf_ped,ped_factor,pred_veh,pred_ped,long_run_ped_prob,years,long_run_ped_percent
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6359698788785374,91,63.6
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.63998992619917,92,64.0
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6439655794449102,93,64.4
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6478973288671726,94,64.79
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.651785659303441,95,65.18
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6556310502370553,96,65.56
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6594339758563386,97,65.94
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6631949051130699,98,66.32
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6669143017803139,99,66.69
Agate & Mesa,3st,Before - Indirect,indirect,true,true,false,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,1.0,0.021,0.5287905099085966,0.011104600708080527,0.6705926245096088,100,67.06
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.00697148411512627,1,0.7
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.013894366639485067,2,1.39
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.020768986398294498,3,2.08
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.027595679854657718,4,2.76
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.034374781126031206,5,3.44
Agate & Mesa,3st,After - Indirect,indirect,true,true,true,false,false,,,11000,352.0,0.5343847971942502,0.09723310761773793,0.6316179048119882,0.013263976001051753,0.8372,0.63,0.021,0.5287905099085966,0.0069958984460907325,0.041106622000576354,6,4.11
